onset	duration	trial_type	response_time
4.005330	0.832823	guess_rightButton_computer	0.832823
7.358003	1.007995	outcome_computer_reward	n/a
9.370034	0.521072	guess_rightButton_computer	0.521072
12.722954	1.007536	outcome_computer_punish	n/a
15.920326	0.634047	guess_rightButton_face	0.634047
20.121929	1.005082	outcome_stranger_punish	n/a
22.135349	0.520147	guess_leftButton_computer	0.520147
26.337847	1.007101	outcome_computer_neutral	n/a
29.348167	0.639374	guess_rightButton_computer	0.639374
33.550831	1.007335	outcome_computer_reward	n/a
38.755005	0.532979	guess_leftButton_face	0.532979
43.808117	1.005144	outcome_stranger_neutral	n/a
47.998601	0.423379	guess_rightButton_face	0.423379
51.350851	1.004670	outcome_stranger_punish	n/a
53.359651	0.528677	guess_leftButton_computer	0.528677
58.412845	1.006009	outcome_computer_punish	n/a
61.422455	0.631689	guess_leftButton_computer	0.631689
65.625021	1.004950	outcome_computer_neutral	n/a
69.815831	0.623142	guess_rightButton_face	0.623142
74.017771	1.005820	outcome_stranger_punish	n/a
76.030261	0.523986	guess_leftButton_computer	0.523986
80.232831	1.003966	outcome_computer_punish	n/a
83.424341	0.530175	guess_rightButton_face	0.530175
88.476795	1.003666	outcome_stranger_punish	n/a
93.484651	0.420014	guess_leftButton_computer	0.420014
96.836831	1.004820	outcome_computer_reward	n/a
100.844931	0.426305	guess_leftButton_computer	0.426305
105.897571	1.012474	outcome_computer_punish	n/a
110.098491	0.422572	guess_leftButton_face	0.422572
114.301716	1.005655	outcome_stranger_reward	n/a
117.311321	0.526156	guess_rightButton_computer	0.526156
121.513811	1.005920	outcome_computer_punish	n/a
125.524231	0.530635	guess_leftButton_computer	0.530635
128.876391	1.004460	outcome_computer_punish	n/a
132.075341	0.728841	guess_leftButton_face	0.728841
135.427621	1.005050	outcome_stranger_reward	n/a
137.620611	0.733504	guess_leftButton_face	0.733504
142.672421	1.004700	outcome_stranger_reward	n/a
146.681801	0.623341	guess_rightButton_computer	0.623341
150.883641	1.005800	outcome_computer_reward	n/a
154.892701	0.627709	guess_rightButton_computer	0.627709
159.944641	1.005510	outcome_computer_reward	n/a
165.138311	0.732660	guess_leftButton_face	0.732660
170.190651	1.005460	outcome_stranger_neutral	n/a
174.384281	0.521071	guess_leftButton_face	0.521071
178.586581	1.005020	outcome_stranger_neutral	n/a
181.777611	0.828406	guess_rightButton_face	0.828406
185.980591	1.003970	outcome_stranger_neutral	n/a
190.172691	0.531284	guess_leftButton_face	0.531284
193.524601	1.004610	outcome_stranger_reward	n/a
196.533801	0.836808	guess_rightButton_computer	0.836808
199.886651	1.003890	outcome_computer_reward	n/a
205.072241	0.431826	guess_leftButton_face	0.431826
210.125141	1.003450	outcome_stranger_reward	n/a
213.133171	0.737423	guess_leftButton_computer	0.737423
217.335501	1.003900	outcome_computer_reward	n/a
222.524371	0.729449	guess_rightButton_face	0.729449
226.726421	1.004460	outcome_stranger_reward	n/a
229.736211	0.633911	guess_leftButton_computer	0.633911
233.939201	1.011300	outcome_computer_punish	n/a
239.133491	0.636790	guess_leftButton_face	0.636790
242.485901	1.004550	outcome_stranger_punish	n/a
247.494951	0.525832	guess_rightButton_computer	0.525832
252.547411	1.004670	outcome_computer_punish	n/a
255.737661	0.432893	guess_rightButton_face	0.432893
260.790581	1.005980	outcome_stranger_reward	n/a
262.981681	0.623248	guess_rightButton_face	0.623248
266.333821	1.003570	outcome_stranger_reward	n/a
269.524891	0.529125	guess_rightButton_face	0.529125
274.577351	1.004670	outcome_stranger_punish	n/a
279.764641	0.839379	guess_leftButton_face	0.839379
283.117481	1.004740	outcome_stranger_reward	n/a
288.126881	0.626525	guess_rightButton_computer	0.626525
292.329491	1.004700	outcome_computer_neutral	n/a
297.337971	0.832650	guess_rightButton_computer	0.832650
302.391021	1.004300	outcome_computer_reward	n/a
305.583151	0.636873	guess_leftButton_face	0.636873
310.636401	1.004880	outcome_stranger_punish	n/a
312.645651	0.841134	guess_leftButton_computer	0.841134
317.698661	1.004640	outcome_computer_reward	n/a
321.706821	0.729917	guess_rightButton_computer	0.729917
325.060351	1.004730	outcome_computer_punish	n/a
330.068871	0.521178	guess_leftButton_computer	0.521178
335.121221	1.005020	outcome_computer_reward	n/a
340.314261	0.522480	guess_rightButton_face	0.522480
343.666191	1.005000	outcome_stranger_neutral	n/a
345.859021	0.944180	guess_leftButton_face	0.944180
349.211221	1.006100	outcome_stranger_punish	n/a
353.400991	0.520107	guess_rightButton_face	0.520107
358.454221	1.005970	outcome_stranger_reward	n/a
363.647451	0.739630	guess_rightButton_face	0.739630
367.000171	1.005650	outcome_stranger_punish	n/a
369.189041	0.630691	guess_leftButton_face	0.630691
372.541161	1.004390	outcome_stranger_punish	n/a
376.549701	0.636583	guess_leftButton_computer	0.636583
380.751821	1.004330	outcome_computer_punish	n/a
382.940921	0.628719	guess_rightButton_face	0.628719
387.143151	1.005000	outcome_stranger_reward	n/a
389.152881	0.633378	guess_rightButton_computer	0.633378
394.205101	1.004970	outcome_computer_neutral	n/a
399.214621	0.738848	guess_leftButton_computer	0.738848
402.567771	1.004300	outcome_computer_punish	n/a
407.576591	0.826833	guess_leftButton_computer	0.826833
412.630081	1.004860	outcome_computer_neutral	n/a
415.638601	0.531128	guess_rightButton_computer	0.531128
419.841051	1.004970	outcome_computer_reward	n/a
424.036921	0.416714	guess_rightButton_face	0.416714
427.389061	1.005000	outcome_stranger_punish	n/a
