global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
3369.460453713931	n/a	n/a	11353263.749142092	8264.547798556643	n/a	n/a	68302750.31462745	3436.022671491689	n/a	11806251.799004884	n/a	3434.5352812345586	5181.322355164192	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.131873	n/a	n/a	0.0173904881289999	-0.126452	n/a	n/a	0.015990108304	-0.414021	n/a	n/a	0.171413388441	0.00768742	n/a	n/a	5.909642625640001e-05	-0.000468927	n/a	2.19892531329e-07	n/a	-0.000383418	n/a	n/a	1.4700936272400001e-07	0.0	0.0	0.0	0.0
3337.639763392471	-31.82069032146001	1012.5563325342586	11139839.19017855	8070.449718577138	-194.0980799795052	37674.0646517304	65132158.66008181	3421.445431638024	-14.577239853665104	11706288.841676705	212.49592175128225	3420.165638048994	5074.562319434804	1.066258	63.370316	0.0649458	0.031463	-0.0500469859	0.1375285766	-0.0319635322	0.0153836352	-0.1876047434	0.032330973	-0.0880949382	0.1223996673	-0.1726170921	0.0980079672	-0.0947541967	0.1435461973	-0.1802808846	0.0677221766	-0.0303671321	0.0645325799	-0.0926875408	0.1429786519	-0.0881407722	0.0104272543	-0.1172277863	0.0545739146	-0.0882362216	0.0102632915	-0.0901518114	0.0254961335	-0.1995241032	0.0322301769	-0.0036310625	0.018633332	-0.0576455724	0.0564405276	0.0011307148	-0.0350850885	-0.0548216503	0.0225637833	-0.0299226393	0.1062188002	0.0804250615	-0.0473566556	0.1699554692	-0.0816336211	-0.0057404971	-0.025295269	0.0557790069	0.0346370826	-0.0674184345	-0.0078687823	-0.006005648	-0.0121354813	0.0276975996	0.0007809902	-0.0098514749	-0.0757298564	0.1275566821	0.1086536385	0.0092804564	-0.1272900226	-0.0881009862	0.0677613458	-0.0312363728	0.0570914044	-0.1160163374	0.125422405	-0.0775141492	0.0050853849	-0.1249266021	0.0501331306	-0.0928294216	0.0203880034	-0.0730872402	0.0220539077	-0.1866054476	0.0889490189	-0.0041725475	0.016285263	-0.0150107769	-0.076090261	0.0027014059	-0.0302120291	0.0868960397	0.0151024688	-0.0351931556	0.089039995	-0.1024773802	-0.0523071686	0.1580319797	-0.0601437293	-0.0284931638	-0.0119505364	0.0493727267	0.0729825924	-0.0287482189	-0.0329229586	-0.0031268506	-0.002414571	0.0327270822	0.0116238301	0.0015805315	-0.1160370662	0.0143105841	0.1678016809	-0.0015531444	-0.1402715679	-0.025400498	0.0525655317	0.1240256802	0.1239985182	0.1239532527	0.1238898902	0.1238084399	0.0	0.132394	0.000521	2.714410000000224e-07	0.017528171236	-0.142016	-0.0155639999999999	0.0002422380959999	0.020168544256	-0.426459	-0.012438	0.000154703844	0.1818672786809999	0.0073886999999999	-0.0002987200000001	8.923363840005993e-08	5.459288768999852e-05	-0.000848773	-0.000379846	7.204156055290001e-07	1.4428298371600006e-07	-0.000333528	4.9890000000000025e-05	2.489012100000002e-09	1.11240926784e-07	0.0	0.0	0.0	0.0
3328.6576902822303	-8.98207311024089	80.67763735771246	11079962.019075032	8056.515520450854	-13.934198126284173	194.16187742254132	64907442.33126549	3418.830527056637	-2.614904581386781	11688402.172734365	6.837725969757579	3417.923411089541	5056.996811718763	1.007574	59.882534	0.09189302	0.0458345	-0.0424648982	0.0735086069	-0.0133387725	0.0319897236	-0.166533771	0.0310868854	-0.0491316528	0.0202652938	-0.2014110155	0.0559108806	0.0235608148	0.0603260966	0.0320908045	-0.0972082071	0.0153548625	-0.0181534028	-0.0155347763	0.1006894919	-0.0031385472	-0.0236978671	-0.098042661	0.0367724822	0.1663372509	0.0034330968	-0.0311045469	-0.029555651	-0.0832177556	0.0146514626	0.1841577533	-0.0194340524	-0.1021247904	-0.0605221678	-0.0167629759	0.0392901554	-0.0540195325	-0.0281247724	0.0409517172	0.1089202582	0.1122602734	-0.045981462	-0.091560937	0.0971793368	0.001169889	0.1476038864	0.1074550485	0.1264155502	-0.0572440679	-0.0797647445	-0.1407145588	-0.0525335572	0.0661081523	0.0087210041	0.0372653726	0.0911998383	0.0828338117	-0.0729761278	-0.0829767884	-0.1479084263	-0.1021686131	0.0076642479	0.0136875153	-0.0188963485	-0.0341459548	0.0948071114	-0.0021139587	-0.0180410645	-0.0997973105	0.0359044534	0.1705481071	-0.013959676	-0.0338437366	-0.0255865153	-0.0744134311	0.0262478841	-0.1509957283	0.0946281194	0.1232644866	-0.0555468981	0.0210442011	0.0352750284	0.0317289376	-0.0465273471	0.0343908549	0.0768008158	-0.1398482532	-0.0478627037	-0.0941759325	0.1030696365	0.0262569266	0.0935716428	-0.0044229465	0.1851325308	0.0874761366	0.0589132131	0.1530187272	-0.0598669637	0.0621694388	-0.0073949225	-0.0457891688	0.0505728143	0.1264508973	-0.0137655548	-0.105524504	-0.1620736094	-0.0075897919	-0.0279469522	0.1239532527	0.1237089139	0.1233020394	0.1227331636	0.1220030341	0.0	0.117499	-0.014895	0.000221861025	0.013806015001	-0.107747	0.034269	0.001174364361	0.011609416009	-0.419772	0.0066869999999999	4.471596899999998e-05	0.176208531984	0.00696216	-0.0004265399999998	1.8193637159991454e-07	4.84716718656e-05	-0.000875342	-2.656899999999994e-05	7.66223616964e-07	7.059117609999968e-10	-6.57966e-05	0.0002677314	7.168010254596e-08	4.329192571560001e-09	0.0	0.0	0.0	0.0
3313.815081058624	-14.84260922360636	220.3030485646846	10981370.391451577	8016.001043019686	-40.51447743116751	1641.4228815205813	64256272.721692696	3422.703352931884	3.8728258752471447	11714898.242171165	14.998780259983812	3420.804464319728	5074.841425881566	0.999483	59.401669	0.20324473	0.0982538	-0.0169641588	0.0675476132	-0.0388689896	0.0673442488	-0.1707266268	-0.0036892118	-0.0219322596	0.1566629415	-0.1337550253	0.0545928678	0.0541414496	-0.1484319307	-0.0498303123	-0.0146669159	-0.0492126719	-0.0321965396	0.0410120751	-0.107300298	0.0162766088	-0.0269584939	-0.024342396	-0.0111806172	0.1502917284	0.0412744186	0.0331687651	-0.081977698	0.0601323966	-0.0973209527	0.0678299405	-0.0050976382	-0.0152470555	0.0318327465	-0.0486648587	0.0166548111	0.0869413229	-0.0681701998	0.0274219469	-0.0733314083	-0.0529824459	-0.081084433	-0.0828720799	0.0609993435	0.1655489058	0.0096272646	0.0720565671	0.1379150983	-0.0070114306	0.0574998446	0.1081452142	0.010137722	-0.0518717309	0.0156162315	-0.0053311694	0.0585086754	0.0133319275	0.0211072117	-0.0627548031	-0.0646872119	0.0264671053	-0.0622530806	-0.0384627368	-0.0405474953	0.0643621898	-0.0996226799	0.0117660562	-0.0222862242	-0.0200955854	-0.0034534282	0.1564123873	0.0127144278	0.0381410186	-0.0801788791	0.0308033791	-0.1164394786	-0.0429655911	0.0062376004	-0.0085813427	-0.0443634784	0.0582610544	0.0164904659	-0.1086432853	-0.0415439067	0.0081518306	-0.0594525262	0.0560376604	-0.0707628586	-0.0852342688	-0.0035007544	0.1790827685	-0.0234083027	0.0321219682	0.1154854482	0.0888714783	-0.0802052215	-0.1045710275	0.0113329997	-0.0444327004	0.0094757101	0.0030062305	0.0355703287	0.0201711495	0.0378422123	-0.0604166394	-0.0360727084	0.0725463009	-0.0711619024	0.1238084399	0.1231303817	0.1220030341	0.1204305106	0.1184185493	0.0	0.081877	-0.035622	0.001268926884	0.006703843129	-0.063772	0.043975	0.001933800625	0.004066867984	-0.387492	0.0322799999999999	0.0010419983999999	0.150150050064	0.00717361	0.00021145	4.471110250000008e-08	5.1460680432100006e-05	-0.00226264	-0.001387298	5.119539769599999e-06	1.924595740804e-06	0.00016281	0.0002286066	5.226097756356e-08	2.65070961e-08	0.0	0.0	0.0	0.0
3298.440646019959	-15.37443503866507	236.3732527581322	10879710.695316564	7936.182306023964	-79.81873699572225	6371.03077559228	62982989.59444784	3408.4190561805285	-14.284296751355669	11617320.462534564	204.0411336807901	3407.366343316237	5003.449751423336	1.013561	60.238354	0.14009105	0.0699596	0.0248151335	0.1154053548	-0.0131043691	0.0895369994	-0.1429341385	-0.0327949617	0.1024428045	0.1769012289	-0.1239727611	0.0731383584	0.0268171353	0.1126173359	-0.0012895736	0.0812275099	0.0253998198	-0.11806477	-0.0827978492	0.1997809545	-0.1522421655	0.0167132665	-0.0732743543	-0.0180937039	0.1393240443	0.0012606235	-0.0872809265	0.0597925911	0.0587403625	-0.0677423821	0.0474596872	0.007594825	0.0215141174	0.0440681436	-0.027168568	0.1227655377	-0.1169180949	-0.0025263154	0.0395585107	-0.0648086132	-0.1028203485	0.069013248	-0.060354417	0.0458905859	0.0555197428	-0.009226517	-0.0312371851	0.0081113636	-0.0083824443	-0.0037384817	0.0705149606	0.0903926151	0.1455101292	-0.0681556421	0.0681986213	0.0798948527	-0.1173725842	-0.1113678578	0.0372891118	0.1124331325	0.0412197155	0.0160873139	0.0365593424	-0.105914615	-0.1287005325	0.174966924	-0.1545871752	0.0224087051	-0.0786179396	-0.0151302354	0.1426657872	-0.0003804176	-0.0941407762	0.0520887521	0.030733497	-0.0932659337	-0.0365523943	-0.0070040843	-0.0441542978	-0.0170985087	0.0200691166	0.120953602	0.0876494964	-0.0411197717	0.0629900374	-0.0508407526	0.1122486596	0.0646419472	-0.0682688657	0.0324752921	0.0542788124	-0.0225100604	-0.0271054845	0.0084070557	-0.0047118428	0.0020827649	-0.0534711485	0.0973237156	0.1273817611	-0.081067538	-0.0325843388	0.1247136875	-0.0171006308	-0.1731233824	0.0418560212	0.0845205214	-0.020926854	0.047241378	0.1235913266	0.1222642728	0.1200630614	0.1170034304	0.1131072554	0.0	0.0647767	-0.0171003	0.0002924202600899	0.00419602086289	-0.0570316	0.0067403999999999	4.543299215999991e-05	0.00325260339856	-0.338311	0.049181	0.002418770761	0.1144543327209999	0.0063471	-0.00082651	6.831187801000013e-07	4.028567841e-05	-0.00240317	-0.00014053	5.7752260489e-06	1.9748680900000072e-08	0.000537157	0.000374347	1.4013567640900004e-07	2.88537642649e-07	0.0	0.0	0.0	0.0
3304.073173587167	5.632527567207944	31.72536679535744	10916899.536418373	7975.026126377198	38.84382035323415	1508.8423796343277	63601041.716398895	3414.5979788580257	6.178922677497212	11659479.357221317	38.17908545448932	3413.42041119382	4983.727059289324	1.018151	60.511173	0.13270425	0.0724969	-0.0072101862	0.0312226899	0.0012856013	0.0632395464	-0.0750115424	0.0186545708	0.0404068329	0.1431395052	-0.0332872731	-0.0702339271	-0.008106483	-0.039024454	0.1237890515	-0.0458738108	-0.0552538014	0.0800816685	-0.0357782	-0.0134530172	0.0502640313	0.0202558501	0.0400927616	0.0626023478	-0.0165781033	0.0340400302	-0.023033435	0.102590587	0.0507581579	0.0874550855	0.1020255852	0.0636336136	0.0254419597	-0.1034159024	0.1411302305	-0.0066629064	-0.0485498949	0.0268021643	0.0110187354	0.0419373606	0.0014313176	-0.0283322581	0.003067414	-0.0199250217	-0.0761388491	-0.0928593202	-0.0173472692	-0.0264265189	0.0362338745	-0.1553997902	-0.0501318862	-0.0551616987	-0.0196821899	0.0117466211	0.0135209599	-0.0447252257	0.0112371249	-0.1739056613	-0.0714616069	0.0610151694	0.0534178046	-0.0520218185	-0.0684755295	0.076903314	-0.0306692654	-0.0191462941	0.0412027296	0.021830426	0.0458349709	0.0612737729	-0.0036127424	0.0458150954	-0.0294782582	0.0965781978	0.0497809782	0.0453086931	-0.1163712926	0.0815589891	0.0222334385	0.0861986296	-0.1646370289	-0.0143023091	0.0329591855	0.0067175087	0.0346349257	0.0304164847	-0.0057094878	-0.0256554446	-0.0002128081	-0.0271113859	-0.1093150495	-0.0905635273	0.0365101944	-0.029887288	0.017380484	0.1632648814	0.0696511377	-0.0276495734	-0.0162603989	-0.0074577888	-0.0535880327	-0.0403624398	0.0800855596	-0.1339158781	-0.0657639233	0.1014522104	0.0370088533	-0.0302820871	0.1233020394	0.1211126101	0.1174923133	0.1124839207	0.106146603	0.0	0.0441239	-0.0206528	0.00042653814784	0.00194691855121	-0.0437891	0.0132425	0.00017536380625	0.0019174852788099	-0.275562	0.062749	0.003937437001	0.0759344158439999	0.00646656	0.00011946	1.4270691600000012e-08	4.18163982336e-05	-0.00281258	-0.0004094099999999	7.910606256399999e-06	1.6761654809999985e-07	0.000729486	0.0001923289999999	3.6990444240999996e-08	5.32149824196e-07	0.0	0.0	0.0	0.0
3310.946200212985	6.873026625818056	47.23849499920394	10962364.740704805	7977.242077022617	2.2159506454190705	4.910437262933195	63636391.15542012	3406.834433227858	-7.763545630167755	11606520.85542698	60.27264075169684	3405.482182245813	4987.454480868659	1.002367	59.573128	0.0502244	0.0304829	-0.0268224796	-0.0257880804	0.0171345002	0.0237069309	-0.1316987795	0.0032156905	0.0075314567	0.0831464951	-0.0518884788	-0.070993944	0.0739296154	-0.0955293292	-0.042462098	0.0528841218	-0.034543377	0.0905191044	0.020093461	0.0043795861	-0.1814569359	-0.0186201563	0.0669034205	-0.0948007534	0.0237150879	0.0412100711	-0.042457777	-0.1679197039	0.065508748	0.1346455479	-0.2001989167	-0.0385942509	0.0729989357	0.0301996688	-0.0294443654	0.0032755175	-0.0837572029	-0.0973794697	0.1570099814	0.0778044259	0.1609044574	0.0512005932	0.0039588774	-0.0993321522	0.0407207771	-0.1171664004	0.0944985264	0.1418504423	0.1375862973	0.0791447805	-0.1095102614	0.0048287715	-0.0473767537	-0.1611767765	-0.0264181377	-0.0161173364	-0.0177622929	-0.0480186303	0.070060532	0.1459724213	0.0982385663	-0.0310638379	-0.0450016143	0.0839674416	0.0279804083	0.0071474484	-0.1887062147	-0.0202441811	0.0589119137	-0.0888660169	0.0408324327	0.0394723998	-0.0272929468	-0.1592121592	0.0854660577	0.1381366606	0.1518623615	-0.1329422153	-0.0549729741	0.0518740142	0.0044778678	0.0066449837	0.0513612755	-0.1308600784	0.1355320232	0.0531737118	-0.1710023935	0.0799410765	0.0086032711	-0.1141164797	0.0155604572	-0.0562249059	0.1525080797	-0.0414745539	0.2006600451	-0.1016947265	0.0946749559	-0.0139066342	-0.0438950828	-0.1444856443	0.0786637626	0.0090173585	-0.0025168205	-0.0578974154	0.0954081158	0.166141858	0.0163246686	-0.0070462062	0.1229407472	0.1196780832	0.1143042958	0.1069141789	0.0976380941	0.0	0.0423537	-0.0017701999999999	3.133608039999998e-06	0.00179383590369	-0.0526827	-0.0088936	7.909612096000002e-05	0.00277546687929	-0.278274	-0.002712	7.354944000000258e-06	0.077436419076	0.0059139	-0.00055266	3.054330756e-07	3.497421321e-05	-0.00274536	6.721999999999978e-05	7.537001529600001e-06	4.51852839999997e-09	0.0008465779999999	0.0001170919999998	1.3710536463976581e-08	7.166943100838307e-07	0.0	0.0	0.0	0.0
3328.7599895291623	17.813789316177463	317.3310898011583	11080643.06789019	8065.818896418567	88.57681939595022	7845.852934302784	65057434.46982284	3415.858851719668	9.024418491810138	11668091.69487161	81.44012911532477	3413.6170719974857	5055.904522796706	1.019849	60.612118	0.1384866999999999	0.0624538	-0.047124293	-0.0382963439	-0.028144827	-0.0101344303	-0.0982362308	0.0550444556	-0.0582904122	0.0058903161	-0.084690518	-0.0710247583	-0.0219393393	-0.0138116426	0.0511300314	-0.1748695123	-0.0081149733	0.0107694513	-0.0325112835	-0.0729770209	0.1611412672	-0.0004310609	-0.032963347	0.0156486043	0.0307102473	-0.0350796662	-0.0672879711	-0.0241399469	0.0415106191	0.0175581023	-0.1622573757	-0.0222213881	0.0026813934	-0.0194102211	0.002723485	-0.05619037	-0.0703988949	0.0226438634	0.100848005	0.0578660499	-0.0829159253	0.0983792157	-0.0927579962	0.0475276632	-0.0785420509	-0.1084074935	-0.0712422681	-0.0384212414	-0.1539542369	-0.1401546832	-0.1036992482	-0.0094478969	-0.1849746438	-0.0544983319	-0.1387358331	-0.0097871738	-0.0778250565	0.1336843742	0.1222541913	0.1729916844	-0.0744460626	-0.0557185619	-0.0107112321	0.0171686197	-0.0176239943	-0.0843286479	0.1654251542	-0.0010203304	-0.0284910547	0.0151302283	0.0195739557	-0.020251763	-0.0742080007	-0.0188573993	0.0360390074	0.0187279597	0.1525242818	-0.0512075717	0.0098703366	0.0285698084	-0.0071447496	-0.0505063383	0.0527384877	-0.0007264452	0.1095033957	0.0417103815	0.0637351948	0.1129060709	-0.1162974554	0.0247205595	-0.1053929425	-0.1443512788	-0.0302324083	0.069484717	-0.1407059772	0.1074891649	0.1248106802	-0.0020674514	-0.1505355231	-0.0009983037	0.1876983811	-0.0183386608	-0.1178029469	0.0609542239	0.1395639639	0.1139453893	-0.1433851633	-0.0875117385	0.1225076612	0.1179640426	0.1105157577	0.1003462082	0.0877058019	0.0	0.0550533	0.0126995999999999	0.0001612798401599	0.0030308658408899	-0.0945292	-0.0418464999999999	0.0017511295622499	0.0089357696526399	-0.307091	-0.0288169999999999	0.0008304194889999	0.094304882281	0.0054189	-0.0004949999999999	2.450249999999998e-07	2.936447721e-05	-0.00255136	0.000194	6.5094378496e-06	3.763600000000006e-08	0.00126005	0.0004134720000001	1.709590947840827e-07	1.5877260025e-06	0.0	0.0	0.0	0.0
3316.9689859969976	-11.791003532164725	139.02776429552097	11002283.254065951	8013.408116464092	-52.4107799544754	2746.8898554364405	64214709.64101259	3425.638687090545	9.779835370876754	11735000.414491432	95.64517988145204	3423.7171007975626	4994.410878609022	1.035689	61.553482	0.1672901	0.0845748999999999	-0.0329555544	-0.0569641177	-0.0262655615	-0.0363347678	-0.0996818023	0.0107526663	-0.05766259	0.0677778448	-0.0430553102	-0.0721913564	-0.0077216551	-0.2079400949	-0.0351876659	-0.049702538	-0.0883059508	0.0402501657	-0.0092384499	0.067957471	-0.1473772145	-0.0160289946	0.1153576858	-0.0483821032	-0.1222418234	-0.0099440679	-0.0178113347	0.0024365998	-0.0855193392	-0.1157277594	0.0100453981	0.115453295	0.0563002967	-0.0072654806	0.2376159169	0.1275884321	0.1030613565	-0.0146027731	-0.0538274656	-0.0309887866	-0.0262545554	0.0959420376	0.0793417552	-0.0472034899	0.0207115217	-0.1327817853	-0.1594440184	0.0278408249	0.0509620766	0.0760049844	0.0760916842	-0.0843365974	0.1331420743	-0.0641688742	0.0441737375	0.0952143575	-0.0871703258	0.0554581099	0.0276802966	-0.0862998743	0.0329152436	-0.0621127089	-0.0826743241	0.0312010447	-0.0315173706	0.0713356081	-0.1463534691	-0.0188853657	0.1093796813	-0.0370622604	-0.1169233787	-0.0141521768	0.0139190465	-0.023591116	-0.1322678961	-0.1000456134	-0.009155854	0.0593200447	-0.1080505984	0.0530599168	-0.2433241709	0.1154397905	-0.0927893303	0.0315279926	-0.0684664345	-0.0374984296	0.0356696327	0.099820155	0.0785156361	-0.0641033944	-0.0061168302	-0.1443133094	-0.0589693345	-0.0969180702	0.0082720064	-0.0723772769	-0.0956254612	-0.0778175544	0.1550013081	-0.0486790072	0.0274729371	0.1216044884	-0.0935966439	0.036609759	0.020238637	-0.0693064997	0.0827703345	-0.058265672	0.1220030341	0.1159744915	0.106146603	0.092841332	0.0764945617	0.0	0.0478252	-0.0072281	5.224542961000002e-05	0.00228724975504	-0.0569612	0.037568	0.0014113546239999	0.00324457830544	-0.250109	0.0569819999999999	0.0032469483239999	0.062554511881	0.00448727	-0.00093163	8.679344569000003e-07	2.01355920529e-05	-0.00252584	2.55199999999998e-05	6.379867705600001e-06	6.512703999999895e-10	0.00161314	0.00035309	1.246725481000001e-07	2.6022206596000004e-06	0.0	0.0	0.0	0.0
3331.399880981928	14.430894984930546	208.2507300660936	11098225.167006403	8018.385311322417	4.977194858324765	24.77246865773448	64294503.00083109	3416.651163196003	-8.987523894541937	11673505.1709686	80.77558575496226	3415.169241720543	5070.473994255126	1.122509	66.713417	0.0867655999999999	0.0440412	-0.0575351492	-0.0594040215	-0.1755667032	-0.0675813574	-0.0576502653	0.0529371055	-0.0432973918	0.0178466612	0.1161082914	-0.0381488759	0.0368959267	-0.0094950136	-0.1068868422	-0.1161203924	-0.0152889476	-0.0010250092	-0.0396650505	0.1614593369	0.0981377979	0.0566944367	-0.0295935222	0.0480391938	0.1366492274	-0.003406603	0.0190689276	-0.0073239509	0.0206146311	-0.0701891782	-0.0702441143	0.0436212625	-0.1085133386	-0.1002342014	-0.130026983	-0.1130508798	-0.0567022564	-0.0814451178	0.0081365642	-0.0840496971	0.0183835959	0.0198595782	-0.0694240542	-0.0341824479	-0.0028063838	0.0296676634	-0.0813928873	0.0059426382	0.0548226751	0.027087886	0.052725306	-0.0392112888	-0.1500657836	0.0651465791	-0.0173086484	0.0498307529	0.0653370436	-0.0590419259	-0.1183010132	0.0325285786	0.0269509449	0.0761203478	-0.0249344526	0.0060223838	-0.0712521617	0.1413296363	0.105911412	0.0605091873	-0.0381282622	0.0500344535	0.127982784	-0.0120377112	0.013188838	0.0010985102	0.0169373095	-0.0468244945	0.1280187651	0.1159324104	0.0953738268	-0.0126427376	0.1179894116	-0.1020528547	0.0250989733	-0.0868692858	0.0100588069	-0.0944192298	0.0021340666	0.0332463147	-0.0717123548	-0.055321301	-0.007921523	0.0022669137	-0.0704110525	-0.0506404422	0.0459052806	0.0145981507	-0.0662328879	-0.045291557	-0.1499453585	0.0711988593	0.0139517613	0.0339175261	0.0888523841	-0.0019705893	-0.1181992445	0.0449839051	0.0110611678	0.1078440072	0.1214271607	0.1137140766	0.1012197857	0.0844696213	0.0641678585	0.0	0.0418922	-0.005933	3.5200489000000006e-05	0.0017549564208399	-0.0794167999999999	-0.0224555999999999	0.0005042539713599	0.0063070281222399	-0.215779	0.03433	0.0011785489	0.046560576841	0.00432667	-0.0001605999999999	2.5792359999999827e-08	1.8720073288900004e-05	-0.00259933	-7.348999999999984e-05	6.7565164489e-06	5.400780099999977e-09	0.00185999	0.0002468499999999	6.093492249999994e-08	3.4595628001e-06	0.0	0.0	0.0	0.0
